,Date,1,2,3,4,5,6,7
0,Wed 02 January 2013,7,9,20,21,30,37,42
1,Sat 05 January 2013,10,15,17,21,37,47,2
2,Wed 09 January 2013,5,21,24,25,39,48,32
3,Sat 12 January 2013,3,7,11,12,24,27,13
4,Wed 16 January 2013,5,12,13,35,38,47,45
5,Sat 19 January 2013,5,9,13,16,35,39,11
6,Wed 23 January 2013,6,10,14,24,32,41,29
7,Sat 26 January 2013,2,6,21,29,34,47,11
8,Wed 30 January 2013,9,10,24,43,47,48,5
9,Sat 02 February 2013,2,12,13,14,21,30,39
10,Wed 06 February 2013,9,10,16,18,27,42,43
11,Sat 09 February 2013,8,10,27,34,40,41,48
12,Wed 13 February 2013,6,14,20,23,29,49,48
13,Sat 16 February 2013,7,20,27,39,46,48,49
14,Wed 20 February 2013,3,6,36,44,45,48,47
15,Sat 23 February 2013,2,16,25,30,31,32,36
16,Wed 27 February 2013,2,14,20,23,24,30,22
17,Sat 02 March 2013,6,9,23,31,35,48,11
18,Wed 06 March 2013,3,9,14,38,42,47,19
19,Sat 09 March 2013,12,19,25,36,44,46,18
20,Wed 13 March 2013,6,8,21,23,41,46,5
21,Sat 16 March 2013,1,11,12,27,48,49,19
22,Wed 20 March 2013,4,11,14,27,43,46,42
23,Sat 23 March 2013,3,14,16,19,37,44,31
24,Wed 27 March 2013,8,10,22,24,37,44,2
25,Sat 30 March 2013,8,15,24,40,43,45,33
26,Wed 03 April 2013,5,11,21,32,42,48,28
27,Sat 06 April 2013,11,21,22,41,47,48,36
28,Wed 10 April 2013,3,16,27,33,36,42,12
29,Sat 13 April 2013,3,13,23,27,41,49,6
30,Wed 17 April 2013,12,14,16,18,20,33,35
31,Sat 20 April 2013,8,34,38,42,44,46,14
32,Wed 24 April 2013,9,11,16,17,18,38,47
33,Sat 27 April 2013,1,13,25,39,41,44,26
34,Wed 01 May 2013,7,8,11,12,39,42,2
35,Sat 04 May 2013,11,12,22,27,40,44,37
36,Wed 08 May 2013,12,15,20,31,33,40,38
37,Sat 11 May 2013,9,12,24,25,26,43,3
38,Wed 15 May 2013,4,5,6,20,30,35,34
39,Sat 18 May 2013,3,5,24,31,48,49,15
40,Wed 22 May 2013,10,23,35,39,45,46,1
41,Sat 25 May 2013,5,6,26,30,33,40,43
42,Wed 29 May 2013,3,5,25,33,34,35,14
43,Sat 01 June 2013,11,13,24,32,34,47,9
44,Wed 05 June 2013,10,18,35,38,41,43,21
45,Sat 08 June 2013,8,9,13,17,41,43,14
46,Wed 12 June 2013,2,7,10,15,17,28,24
47,Sat 15 June 2013,3,4,16,20,33,44,27
48,Wed 19 June 2013,6,9,13,35,36,47,31
49,Sat 22 June 2013,8,24,26,28,36,43,34
50,Wed 26 June 2013,8,11,29,34,40,41,35
51,Sat 29 June 2013,7,13,25,31,34,45,4
52,Wed 03 July 2013,15,27,31,40,41,49,1
53,Sat 06 July 2013,16,24,27,39,45,49,44
54,Wed 10 July 2013,3,9,10,16,20,22,35
55,Sat 13 July 2013,12,15,24,36,45,49,32
56,Wed 17 July 2013,6,24,33,38,42,43,11
57,Sat 20 July 2013,1,3,17,19,39,42,31
58,Wed 24 July 2013,22,26,30,40,42,47,4
59,Sat 27 July 2013,12,13,18,39,43,49,37
60,Wed 31 July 2013,10,16,33,38,40,44,32
61,Sat 03 August 2013,3,5,9,13,17,37,15
62,Wed 07 August 2013,3,16,20,26,28,43,15
63,Sat 10 August 2013,14,15,17,26,35,46,18
64,Wed 14 August 2013,12,18,38,39,45,49,19
65,Sat 17 August 2013,15,25,26,33,34,41,43
66,Wed 21 August 2013,3,4,27,29,47,49,23
67,Sat 24 August 2013,5,20,26,40,42,48,1
68,Wed 28 August 2013,1,5,17,19,37,47,11
69,Sat 31 August 2013,4,14,15,17,21,31,48
70,Wed 04 September 2013,6,7,8,13,24,28,18
71,Sat 07 September 2013,1,11,12,13,35,42,5
72,Wed 11 September 2013,7,24,27,31,40,41,33
73,Sat 14 September 2013,18,20,24,30,39,48,46
74,Wed 18 September 2013,2,4,5,17,22,29,14
75,Sat 21 September 2013,11,15,36,37,38,45,9
76,Wed 25 September 2013,5,7,20,24,30,41,37
77,Sat 28 September 2013,10,12,14,25,46,48,31
78,Wed 02 October 2013,16,17,21,27,30,37,15
79,Sat 05 October 2013,5,15,17,19,20,47,38
80,Wed 09 October 2013,4,11,27,34,36,45,9
81,Sat 12 October 2013,5,12,21,26,33,45,35
82,Wed 16 October 2013,12,15,24,26,31,35,36
83,Sat 19 October 2013,3,12,19,21,29,31,15
84,Wed 23 October 2013,10,18,27,37,41,47,33
85,Sat 26 October 2013,10,14,20,22,45,49,9
86,Wed 30 October 2013,20,23,26,29,34,41,32
87,Sat 02 November 2013,10,28,32,36,37,49,27
88,Wed 06 November 2013,5,6,14,18,29,33,7
89,Sat 09 November 2013,1,2,6,29,32,47,13
90,Wed 13 November 2013,4,6,15,23,36,44,11
91,Sat 16 November 2013,3,19,21,30,41,47,38
92,Wed 20 November 2013,5,11,15,23,35,39,44
93,Sat 23 November 2013,12,16,22,35,38,48,15
94,Wed 27 November 2013,15,19,22,25,42,48,14
95,Sat 30 November 2013,9,16,19,31,36,37,15
96,Wed 04 December 2013,6,12,16,18,21,29,26
97,Sat 07 December 2013,10,12,17,28,30,42,25
98,Wed 11 December 2013,1,8,10,14,18,37,27
99,Sat 14 December 2013,13,21,24,29,35,41,8
100,Wed 18 December 2013,2,7,25,35,40,42,13
101,Sat 21 December 2013,12,18,25,28,33,40,17
102,Wed 25 December 2013,4,8,9,10,21,24,31
103,Sat 28 December 2013,16,24,25,30,34,45,49
